Area,Date,Number,MOE,Percent,Percent MOE,Week Num,Month,Year,State Abbr
Connecticut,"April 28, 2021",786063,54811,29.3,2.0,29 ,April 28, 2021,CT
Delaware,"April 28, 2021",215804,25757,28.5,3.4,29 ,April 28, 2021,DE
District of Columbia,"April 28, 2021",310547,21738,57.3,4.1,29 ,April 28, 2021,DC
Florida,"April 28, 2021",3516790,342704,20.6,2.0,29 ,April 28, 2021,FL
Georgia,"April 28, 2021",2048277,211054,25.8,2.6,29 ,April 28, 2021,GA
Hawaii,"April 28, 2021",202543,29691,19.1,2.8,29 ,April 28, 2021,HI
Idaho,"April 28, 2021",306173,37888,22.3,2.8,29 ,April 28, 2021,ID
Illinois,"April 28, 2021",2994057,261835,31.7,2.8,29 ,April 28, 2021,IL
Indiana,"April 28, 2021",989719,149096,19.9,3.0,29 ,April 28, 2021,IN
Iowa,"April 28, 2021",457931,58045,19.7,2.5,29 ,April 28, 2021,IA
Kansas,"April 28, 2021",454523,43748,21.3,2.0,29 ,April 28, 2021,KS
Kentucky,"April 28, 2021",628691,89392,18.9,2.7,29 ,April 28, 2021,KY
Louisiana,"April 28, 2021",465753,78992,13.7,2.3,29 ,April 28, 2021,LA
Maine,"April 28, 2021",258612,27301,24.4,2.6,29 ,April 28, 2021,ME
Maryland,"April 28, 2021",1795019,109544,39.9,2.4,29 ,April 28, 2021,MD
Massachusetts,"April 28, 2021",1893924,117233,35.9,2.2,29 ,April 28, 2021,MA
Michigan,"April 28, 2021",1957500,172633,26.3,2.4,29 ,April 28, 2021,MI
Minnesota,"April 28, 2021",1453823,111659,34.5,2.6,29 ,April 28, 2021,MN
Mississippi,"April 28, 2021",226707,43388,10.6,2.0,29 ,April 28, 2021,MS
Missouri,"April 28, 2021",1031493,107199,22.6,2.3,29 ,April 28, 2021,MO
Montana,"April 28, 2021",150450,27412,18.1,3.3,29 ,April 28, 2021,MT
Nebraska,"April 28, 2021",339644,31801,24.2,2.3,29 ,April 28, 2021,NE
Nevada,"April 28, 2021",534787,65697,22.1,2.7,29 ,April 28, 2021,NV
New Hampshire,"April 28, 2021",315843,22914,29.6,2.1,29 ,April 28, 2021,NH
New Jersey,"April 28, 2021",2243014,201471,33.4,3.0,29 ,April 28, 2021,NJ
New Mexico,"April 28, 2021",331079,42071,20.7,2.6,29 ,April 28, 2021,NM
New York,"April 28, 2021",4172559,320139,28.9,2.1,29 ,April 28, 2021,NY
North Carolina,"April 28, 2021",1895590,208954,23.6,2.6,29 ,April 28, 2021,NC
North Dakota,"April 28, 2021",88560,17644,16.0,3.2,29 ,April 28, 2021,ND
