Area,Week,Number,MOE,Percent,MOE Percent
Pennsylvania,"17 - October 14-26, 2020",3516501,252722,37.5,2.7
Illinois,"23 - January 20 - February 1, 2021",3663976,252394,40.7,2.7
Illinois,"20 - November 25 - December 7, 2020",3671291,251391,40.5,2.7
Pennsylvania,"18 - October 28 - November 9, 2020",3326907,250207,35.3,2.8
North Carolina,"26 - March 3-15, 2021",2852926,244928,38,3.3
Georgia,"21 - December 9-21, 2020",2783942,242964,36.1,3.1
Ohio,"17 - October 14-26, 2020",3092561,242140,36.6,2.8
Pennsylvania,"26 - March 3-15, 2021",3702145,237764,39.7,2.6
Georgia,"27 - March 17-29, 2021",3165126,233769,41.8,3.1
Georgia,"20 - November 25 - December 7, 2020",2631091,232799,34.6,3
Pennsylvania,"20 - November 25 - December 7, 2020",3296170,230957,35.6,2.5
North Carolina,"16 - September 30 - October 12, 2020",2380437,230236,31,2.9
North Carolina,"15 - September 16-28, 2020",2443053,229189,32.2,3.1
Georgia,"16 - September 30 - October 12, 2020",2898261,227731,37.6,3
Georgia,"19 - November 11-23, 2020",2796363,227225,36.9,3
North Carolina,"23 - January 20 - February 1, 2021",2736504,226817,36.4,3.2
Illinois,"27 - March 17-29, 2021",3661789,223720,41.3,2.6
Pennsylvania,"25 - February 17 - March 1, 2021",3525106,223195,37.6,2.5
New Jersey,"17 - October 14-26, 2020",3145224,220302,49.4,3.2
Georgia,"26 - March 3-15, 2021",2805409,220133,37.6,2.9
New Jersey,"21 - December 9-21, 2020",2883965,219736,45.2,3.3
Michigan,"23 - January 20 - February 1, 2021",2604146,219342,35.8,3
North Carolina,"27 - March 17-29, 2021",2748974,218996,36,3
Illinois,"26 - March 3-15, 2021",3445551,216753,38.4,2.4
Virginia,"18 - October 28 - November 9, 2020",2555200,215813,41.5,3.5
Pennsylvania,"15 - September 16-28, 2020",3537411,215694,37.9,2.3
Illinois,"19 - November 11-23, 2020",3885462,212712,42.7,2.3
North Carolina,"14 - September 2-14, 2020",2742210,211865,36.2,3
