Area,Week,Number,MOE,Percent,MOE Percent
South Carolina,"16 - September 30 - October 12, 2020",916643,86587,24.5,2.4
Mississippi,"24 - February 3-15, 2021",582463,85483,28.4,4.1
Oklahoma,"22 - January 6-18, 2021",864757,85459,31.7,3.1
Louisiana,"13 - August 19-31, 2020",823499,85372,25.8,2.6
Oklahoma,"26 - March 3-15, 2021",884726,84692,31.7,3
Minnesota,"13 - August 19-31, 2020",1788372,84454,44.2,2
Louisiana,"20 - November 25 - December 7, 2020",776129,84247,23.9,2.6
Tennessee,"14 - September 2-14, 2020",1419202,84247,28.7,1.7
Colorado,"13 - August 19-31, 2020",1777371,83958,41.5,1.9
Mississippi,"26 - March 3-15, 2021",480658,83948,23.7,4.1
Connecticut,"19 - November 11-23, 2020",1166990,82869,44.8,3.1
Alabama,"13 - August 19-31, 2020",877353,82763,25.2,2.3
Kentucky,"20 - November 25 - December 7, 2020",878885,82744,27.6,2.7
Oregon,"17 - October 14-26, 2020",1183024,82585,37.6,2.7
Washington,"16 - September 30 - October 12, 2020",2321534,82456,41.4,1.5
Kansas,"22 - January 6-18, 2021",764463,82317,37.7,3.9
Washington,"14 - September 2-14, 2020",2367754,82315,42.1,1.4
Nevada,"18 - October 28 - November 9, 2020",772622,81388,34,3.4
Minnesota,"16 - September 30 - October 12, 2020",1666924,81325,40.9,1.9
Louisiana,"14 - September 2-14, 2020",828495,81229,25.2,2.4
Alabama,"16 - September 30 - October 12, 2020",893883,81109,25.7,2.4
Arkansas,"25 - February 17 - March 1, 2021",657243,80877,31.2,3.9
Alabama,"14 - September 2-14, 2020",965928,80714,27.7,2.3
Oklahoma,"27 - March 17-29, 2021",773456,80484,27.8,2.9
Wisconsin,"13 - August 19-31, 2020",1455909,80232,34.6,1.8
Louisiana,"16 - September 30 - October 12, 2020",831848,80108,26,2.5
Mississippi,"18 - October 28 - November 9, 2020",443446,79937,21,3.8
Arkansas,"22 - January 6-18, 2021",549008,79774,27,3.7
Connecticut,"26 - March 3-15, 2021",1262066,79356,49.1,3.3
Mississippi,"22 - January 6-18, 2021",433363,78718,22.2,4.2
Iowa,"24 - February 3-15, 2021",791453,78626,34.9,3.4
Oregon,"22 - January 6-18, 2021",1313850,77833,41.9,2.5
Oregon,"20 - November 25 - December 7, 2020",1164701,77646,36.5,2.4
Oregon,"21 - December 9-21, 2020",1214814,77023,38.5,2.3
Louisiana,"15 - September 16-28, 2020",811014,76960,24.9,2.4
Oregon,"24 - February 3-15, 2021",1269999,76924,40.1,2.4
Connecticut,"23 - January 20 - February 1, 2021",1115240,76305,43.4,2.8
Kentucky,"13 - August 19-31, 2020",971805,76274,30.6,2.4
Iowa,"15 - September 16-28, 2020",676287,75976,29.9,3.4
South Carolina,"13 - August 19-31, 2020",1058166,75848,27.8,2
Oregon,"18 - October 28 - November 9, 2020",1097690,75251,34.6,2.4
Kentucky,"15 - September 16-28, 2020",930298,75208,28.8,2.3
Oklahoma,"17 - October 14-26, 2020",827627,74815,29.7,2.6
Oklahoma,"21 - December 9-21, 2020",743847,74698,26.3,2.6
Hawaii,"18 - October 28 - November 9, 2020",419243,74454,40.2,7.1
Nevada,"24 - February 3-15, 2021",640342,73325,29.1,3.5
Arkansas,"24 - February 3-15, 2021",605641,73038,29.3,3.2
Oregon,"23 - January 20 - February 1, 2021",1166995,72907,36.8,2.3
Nevada,"21 - December 9-21, 2020",633659,72550,28.1,3.3
Nevada,"25 - February 17 - March 1, 2021",723607,72408,32.2,3.2
Oklahoma,"20 - November 25 - December 7, 2020",807696,72264,29.2,2.7
Arkansas,"26 - March 3-15, 2021",659877,72193,31.7,3.4
Oregon,"26 - March 3-15, 2021",1171580,71634,37.5,2.3
Nevada,"23 - January 20 - February 1, 2021",711008,70944,31.2,3.1
Minnesota,"14 - September 2-14, 2020",1701090,70581,41.7,1.7
Oregon,"16 - September 30 - October 12, 2020",1173820,70309,37.4,2.2
Iowa,"18 - October 28 - November 9, 2020",686277,70170,30.7,3.1
Arkansas,"23 - January 20 - February 1, 2021",560469,69869,26.7,3.3
Iowa,"19 - November 11-23, 2020",691572,69804,30.7,3
Arkansas,"21 - December 9-21, 2020",497307,69009,24.3,3.4
Kentucky,"14 - September 2-14, 2020",861333,68992,27.2,2.3
Nevada,"22 - January 6-18, 2021",676617,68798,30.3,3
Oregon,"19 - November 11-23, 2020",1177169,68467,36.8,2.2
Connecticut,"14 - September 2-14, 2020",1096598,68221,42.4,2.6
Utah,"27 - March 17-29, 2021",1146108,68135,51.9,3
Nevada,"27 - March 17-29, 2021",730880,68035,32.8,3
Iowa,"21 - December 9-21, 2020",722925,67749,32.4,3
Connecticut,"16 - September 30 - October 12, 2020",1122039,67438,43.3,2.5
Kansas,"20 - November 25 - December 7, 2020",757175,67175,37.3,3.3
Nevada,"19 - November 11-23, 2020",616873,66840,27.2,3
Kansas,"18 - October 28 - November 9, 2020",741373,66553,35.7,3.2
Connecticut,"25 - February 17 - March 1, 2021",1147223,66275,44.3,2.5
Connecticut,"15 - September 16-28, 2020",1132986,66183,43.6,2.5
Mississippi,"14 - September 2-14, 2020",512070,65638,24.9,3.1
Arkansas,"19 - November 11-23, 2020",564721,65448,26.4,3
Iowa,"26 - March 3-15, 2021",688830,65316,30.9,2.9
Mississippi,"20 - November 25 - December 7, 2020",474672,65250,22.5,3.1
Utah,"25 - February 17 - March 1, 2021",1099929,65012,49.6,2.9
Iowa,"22 - January 6-18, 2021",702324,64810,31.4,2.9
Iowa,"27 - March 17-29, 2021",739781,64349,33.2,2.8
Kansas,"23 - January 20 - February 1, 2021",783870,63935,38.3,3.1
Connecticut,"24 - February 3-15, 2021",1061319,63816,41.9,2.5
Iowa,"20 - November 25 - December 7, 2020",706976,63778,31.1,2.9
Connecticut,"20 - November 25 - December 7, 2020",1198133,63757,46.8,2.5
New Mexico,"18 - October 28 - November 9, 2020",519537,63616,33.8,4.1
Arkansas,"15 - September 16-28, 2020",496539,63437,23.1,2.9
Utah,"26 - March 3-15, 2021",1163054,62855,52.7,2.8
Nevada,"20 - November 25 - December 7, 2020",741108,62430,31.8,2.7
Oklahoma,"15 - September 16-28, 2020",795883,61716,28.5,2.2
Arkansas,"27 - March 17-29, 2021",510702,61222,25.2,3
Connecticut,"13 - August 19-31, 2020",1160116,59806,44.8,2.2
Nevada,"13 - August 19-31, 2020",683605,59494,29.8,2.6
Kansas,"19 - November 11-23, 2020",732116,59453,35.7,2.9
Nevada,"14 - September 2-14, 2020",627737,59293,27.1,2.6
Utah,"21 - December 9-21, 2020",1109634,59281,50.3,2.7
Utah,"20 - November 25 - December 7, 2020",1022617,59281,46.3,2.8
Kansas,"26 - March 3-15, 2021",760875,59248,37.3,2.9
Oregon,"13 - August 19-31, 2020",1150356,58744,36.9,2
Nevada,"17 - October 14-26, 2020",664962,58614,28.9,2.5
Utah,"17 - October 14-26, 2020",1121555,58357,50.2,2.6
Mississippi,"27 - March 17-29, 2021",406687,58185,19.6,2.8
Mississippi,"16 - September 30 - October 12, 2020",421113,57874,20.7,2.9
Utah,"18 - October 28 - November 9, 2020",1103057,57689,49.6,2.6
Oregon,"14 - September 2-14, 2020",1195942,57659,37.8,1.8
Oregon,"15 - September 16-28, 2020",1098208,57493,34.5,1.8
Kansas,"21 - December 9-21, 2020",795305,57491,38.5,2.9
Utah,"19 - November 11-23, 2020",1099039,57459,49.5,2.6
Kansas,"25 - February 17 - March 1, 2021",736149,57396,35.8,2.9
New Mexico,"21 - December 9-21, 2020",518907,57210,34.5,3.8
Mississippi,"19 - November 11-23, 2020",389920,57011,19.1,2.8
Kansas,"27 - March 17-29, 2021",736493,56763,35.8,2.7
West Virginia,"16 - September 30 - October 12, 2020",371865,56408,27.7,4.3
Arkansas,"20 - November 25 - December 7, 2020",574387,56370,26.9,2.5
Mississippi,"13 - August 19-31, 2020",475490,56278,23.8,2.8
Iowa,"17 - October 14-26, 2020",688511,56213,30.5,2.5
Oklahoma,"13 - August 19-31, 2020",761624,55551,27.2,2
Arkansas,"13 - August 19-31, 2020",563241,55375,26.4,2.6
Nevada,"15 - September 16-28, 2020",629622,54889,27.3,2.4
Mississippi,"15 - September 16-28, 2020",441508,54820,21.2,2.6
Arkansas,"14 - September 2-14, 2020",569759,54661,26.5,2.5
Kansas,"24 - February 3-15, 2021",783862,54494,38.9,2.6
Iowa,"23 - January 20 - February 1, 2021",686353,54195,30.6,2.5
West Virginia,"19 - November 11-23, 2020",314615,54087,24.5,4.3
Nevada,"26 - March 3-15, 2021",619746,53497,27.5,2.4
Iowa,"25 - February 17 - March 1, 2021",650267,53435,29.1,2.5
Maine,"27 - March 17-29, 2021",379681,53401,37.5,5.3
New Mexico,"19 - November 11-23, 2020",490742,53112,32.4,3.5
West Virginia,"27 - March 17-29, 2021",353743,53078,27.1,4.1
Utah,"23 - January 20 - February 1, 2021",1051496,52992,47.8,2.5
Kansas,"16 - September 30 - October 12, 2020",696976,52925,33.9,2.6
Oklahoma,"14 - September 2-14, 2020",723157,52778,25.9,1.9
West Virginia,"18 - October 28 - November 9, 2020",350841,52632,26.4,3.9
West Virginia,"24 - February 3-15, 2021",377574,52305,28.9,3.9
Mississippi,"17 - October 14-26, 2020",416451,52132,20,2.5
Utah,"22 - January 6-18, 2021",1047683,51782,48.2,2.3
Nevada,"16 - September 30 - October 12, 2020",628363,51779,27.3,2.2
New Mexico,"22 - January 6-18, 2021",509900,51521,34.3,3.5
New Mexico,"20 - November 25 - December 7, 2020",497843,50937,33.1,3.3
Arkansas,"18 - October 28 - November 9, 2020",487356,50693,22.9,2.5
New Mexico,"26 - March 3-15, 2021",551806,49857,36.5,3.3
Maine,"23 - January 20 - February 1, 2021",356597,49696,35.1,4.7
Utah,"13 - August 19-31, 2020",1011953,49488,45.6,2.2
Arkansas,"17 - October 14-26, 2020",526871,49024,24.4,2.3
Connecticut,"17 - October 14-26, 2020",1053781,48669,41.1,2
Nebraska,"18 - October 28 - November 9, 2020",475529,48360,34.3,3.5
New Mexico,"25 - February 17 - March 1, 2021",520726,48198,34.3,3.2
New Mexico,"17 - October 14-26, 2020",486574,48166,32.2,3.2
Nebraska,"20 - November 25 - December 7, 2020",518579,48093,38.2,3.6
New Hampshire,"25 - February 17 - March 1, 2021",424759,47791,41.1,4.6
Hawaii,"26 - March 3-15, 2021",348364,47697,34.4,4.7
New Mexico,"16 - September 30 - October 12, 2020",545833,47516,36.1,3
Hawaii,"24 - February 3-15, 2021",410442,47490,39.6,4.5
Utah,"14 - September 2-14, 2020",1031809,47382,46.5,2.2
Arkansas,"16 - September 30 - October 12, 2020",428716,47317,20.1,2.3
Kansas,"17 - October 14-26, 2020",668269,47202,33.3,2.3
Nebraska,"27 - March 17-29, 2021",526599,47104,39.2,3.4
Iowa,"14 - September 2-14, 2020",668957,46986,29.8,2.1
Hawaii,"20 - November 25 - December 7, 2020",321611,46935,30.6,4.5
Utah,"24 - February 3-15, 2021",1117351,46908,50.7,2.2
Idaho,"27 - March 17-29, 2021",452274,46827,34.7,3.6
Nebraska,"24 - February 3-15, 2021",505768,46485,37.1,3.4
West Virginia,"21 - December 9-21, 2020",342894,46357,26.1,3.6
Iowa,"13 - August 19-31, 2020",651573,46086,28.9,2
New Mexico,"24 - February 3-15, 2021",520980,45727,34.7,3
Iowa,"16 - September 30 - October 12, 2020",739574,45499,32.8,2
West Virginia,"14 - September 2-14, 2020",340987,45237,26.3,3.5
Utah,"15 - September 16-28, 2020",1059396,45193,48.6,2.1
Idaho,"18 - October 28 - November 9, 2020",432279,44989,33.5,3.5
New Mexico,"23 - January 20 - February 1, 2021",488792,44884,33,3.1
Kansas,"14 - September 2-14, 2020",699865,44874,34.4,2.1
Kansas,"13 - August 19-31, 2020",733960,44391,36,2.2
Idaho,"23 - January 20 - February 1, 2021",467983,43915,36.3,3.4
New Mexico,"15 - September 16-28, 2020",482125,43854,32.8,2.8
New Mexico,"27 - March 17-29, 2021",518691,43553,34.4,2.9
Idaho,"14 - September 2-14, 2020",483353,43542,37.5,3.3
Maine,"20 - November 25 - December 7, 2020",332715,42745,32.8,4.3
West Virginia,"22 - January 6-18, 2021",368160,42606,27.8,3.3
Rhode Island,"20 - November 25 - December 7, 2020",327865,42602,42.5,5.5
Idaho,"15 - September 16-28, 2020",432922,42577,34.2,3.2
New Mexico,"13 - August 19-31, 2020",499878,42525,33,2.8
Kansas,"15 - September 16-28, 2020",719081,41496,34.8,2
Maine,"24 - February 3-15, 2021",402180,41408,38.8,4
Nebraska,"19 - November 11-23, 2020",499580,41204,36.3,2.9
Maine,"22 - January 6-18, 2021",366163,40817,36.6,4.3
Idaho,"25 - February 17 - March 1, 2021",437618,40785,34.5,3.3
Idaho,"19 - November 11-23, 2020",459336,40755,35.6,3.2
West Virginia,"26 - March 3-15, 2021",338634,40752,26.3,3.2
Maine,"26 - March 3-15, 2021",375001,40473,37,4.2
New Hampshire,"18 - October 28 - November 9, 2020",412016,40364,40.3,4
West Virginia,"13 - August 19-31, 2020",309073,40123,23.5,3.1
Hawaii,"13 - August 19-31, 2020",380729,39739,37,3.7
Nebraska,"25 - February 17 - March 1, 2021",490155,39732,36.1,3
West Virginia,"23 - January 20 - February 1, 2021",322457,39712,25,3
Hawaii,"22 - January 6-18, 2021",362866,39688,35.8,3.9
Nebraska,"26 - March 3-15, 2021",515250,39495,37.5,2.8
Delaware,"18 - October 28 - November 9, 2020",254744,39423,35,5.3
Maine,"18 - October 28 - November 9, 2020",373058,39357,36.9,3.8
West Virginia,"17 - October 14-26, 2020",346960,39130,26.1,2.9
Nebraska,"21 - December 9-21, 2020",477536,39087,35.5,2.9
Idaho,"21 - December 9-21, 2020",413893,39068,32.3,3.1
New Hampshire,"26 - March 3-15, 2021",422788,38974,41.2,3.5
Hawaii,"25 - February 17 - March 1, 2021",392119,38915,38.4,3.8
Utah,"16 - September 30 - October 12, 2020",1044997,38879,47.2,1.8
Nebraska,"17 - October 14-26, 2020",496524,38779,36.5,2.9
West Virginia,"20 - November 25 - December 7, 2020",328266,38363,24.9,2.8
Nebraska,"23 - January 20 - February 1, 2021",506071,38091,37.2,2.7
New Hampshire,"21 - December 9-21, 2020",445579,38060,42.9,3.7
New Hampshire,"23 - January 20 - February 1, 2021",432075,37831,42.7,3.5
Rhode Island,"27 - March 17-29, 2021",332447,37614,42.6,4.8
New Hampshire,"27 - March 17-29, 2021",469747,37533,45.7,3.6
Nebraska,"15 - September 16-28, 2020",488134,37210,36.3,2.8
New Mexico,"14 - September 2-14, 2020",478862,37063,32.2,2.5
West Virginia,"25 - February 17 - March 1, 2021",331027,37010,25.5,2.9
West Virginia,"15 - September 16-28, 2020",322194,36797,24.8,2.9
Idaho,"20 - November 25 - December 7, 2020",440276,36425,34.1,2.9
Nebraska,"22 - January 6-18, 2021",460403,36330,35,2.8
Delaware,"20 - November 25 - December 7, 2020",302552,36130,41.9,5
New Hampshire,"20 - November 25 - December 7, 2020",417610,36086,40.5,3.5
Hawaii,"19 - November 11-23, 2020",368379,36029,36.2,3.6
Maine,"25 - February 17 - March 1, 2021",357401,36020,35,3.5
Hawaii,"21 - December 9-21, 2020",363691,36017,35.8,3.5
Hawaii,"17 - October 14-26, 2020",361958,35920,35.1,3.6
Idaho,"22 - January 6-18, 2021",418435,35915,33.6,2.9
Idaho,"24 - February 3-15, 2021",431387,35849,33.6,2.9
New Hampshire,"19 - November 11-23, 2020",419490,35849,40.1,3.5
Idaho,"26 - March 3-15, 2021",435497,35807,33.6,2.7
Hawaii,"27 - March 17-29, 2021",318563,35786,30.9,3.5
Maine,"21 - December 9-21, 2020",339006,35188,34.1,3.5
New Hampshire,"22 - January 6-18, 2021",422974,35105,40.5,3.5
Nebraska,"16 - September 30 - October 12, 2020",489594,35010,36.1,2.6
Montana,"24 - February 3-15, 2021",263706,34448,34,4.3
New Hampshire,"24 - February 3-15, 2021",481178,34245,47.7,3.5
Maine,"16 - September 30 - October 12, 2020",341147,33918,33.9,3.3
Hawaii,"14 - September 2-14, 2020",338697,33693,32.6,3.2
Montana,"21 - December 9-21, 2020",275372,33564,35.6,4.3
Maine,"19 - November 11-23, 2020",353247,33477,34.8,3.4
Delaware,"26 - March 3-15, 2021",254381,33250,35.8,4.5
Nebraska,"14 - September 2-14, 2020",455251,33104,34,2.5
Maine,"15 - September 16-28, 2020",347621,32783,34.2,3.3
Maine,"17 - October 14-26, 2020",337633,32765,33.4,3.3
Delaware,"25 - February 17 - March 1, 2021",264433,32645,38.1,4.7
New Hampshire,"17 - October 14-26, 2020",444557,32293,42.9,3.1
Hawaii,"16 - September 30 - October 12, 2020",354239,32232,35,3.2
Rhode Island,"19 - November 11-23, 2020",303653,31286,39.5,4.1
Maine,"13 - August 19-31, 2020",366213,31166,36.2,3.1
Rhode Island,"23 - January 20 - February 1, 2021",352291,31028,46.7,3.5
Rhode Island,"26 - March 3-15, 2021",292222,30921,38.3,3.8
Hawaii,"23 - January 20 - February 1, 2021",334434,30445,32.4,3.1
Rhode Island,"17 - October 14-26, 2020",295774,30444,38.3,3.8
Montana,"25 - February 17 - March 1, 2021",257028,29803,33.1,3.8
North Dakota,"25 - February 17 - March 1, 2021",170480,29764,32,5.6
Montana,"18 - October 28 - November 9, 2020",229390,29247,28.9,3.7
Delaware,"24 - February 3-15, 2021",261239,29183,36.6,4
Idaho,"17 - October 14-26, 2020",428139,29161,33.4,2.3
Idaho,"13 - August 19-31, 2020",436435,29079,34.1,2.3
Montana,"23 - January 20 - February 1, 2021",265629,28931,33.3,3.7
New Hampshire,"14 - September 2-14, 2020",387151,28875,37.9,2.8
New Hampshire,"13 - August 19-31, 2020",424236,28588,40.8,2.7
Rhode Island,"22 - January 6-18, 2021",327587,28494,42.6,3.8
Idaho,"16 - September 30 - October 12, 2020",391096,28466,30.4,2.1
Hawaii,"15 - September 16-28, 2020",356040,28328,34.5,2.8
Delaware,"19 - November 11-23, 2020",248179,28181,34.5,3.8
Montana,"22 - January 6-18, 2021",238781,28042,31,3.6
Rhode Island,"25 - February 17 - March 1, 2021",328097,27992,43.8,3.6
Delaware,"22 - January 6-18, 2021",248296,27560,34.6,3.9
New Hampshire,"16 - September 30 - October 12, 2020",431624,27554,42.4,2.5
Rhode Island,"14 - September 2-14, 2020",316977,27273,40.8,3.6
Delaware,"15 - September 16-28, 2020",271577,27014,38.7,3.8
Maine,"14 - September 2-14, 2020",327470,26944,32.2,2.7
Delaware,"17 - October 14-26, 2020",269230,26939,37.8,3.8
Rhode Island,"21 - December 9-21, 2020",324610,26523,40.7,3.3
Montana,"27 - March 17-29, 2021",236598,26035,29.9,3.4
Nebraska,"13 - August 19-31, 2020",466772,25745,35,2
Montana,"20 - November 25 - December 7, 2020",251618,25444,31.9,3.2
Rhode Island,"18 - October 28 - November 9, 2020",240804,25308,31.2,3.2
Montana,"26 - March 3-15, 2021",254853,25218,32.3,3.1
South Dakota,"24 - February 3-15, 2021",186605,25050,30.6,4
Montana,"15 - September 16-28, 2020",241771,24666,30.6,3.1
Rhode Island,"16 - September 30 - October 12, 2020",292463,24588,37.9,3.2
South Dakota,"18 - October 28 - November 9, 2020",198787,24487,32.1,4
South Dakota,"27 - March 17-29, 2021",196710,24411,31.9,3.9
Montana,"19 - November 11-23, 2020",213398,24382,26.9,3
Montana,"16 - September 30 - October 12, 2020",265933,24258,33.6,3
North Dakota,"21 - December 9-21, 2020",148805,24216,27.7,4.5
District of Columbia,"23 - January 20 - February 1, 2021",339130,24128,63.8,4.5
South Dakota,"23 - January 20 - February 1, 2021",166615,23825,27.1,3.8
Delaware,"14 - September 2-14, 2020",245183,23798,34.3,3.4
District of Columbia,"22 - January 6-18, 2021",352891,23740,68.5,4.4
South Dakota,"26 - March 3-15, 2021",181325,23731,29.4,3.9
District of Columbia,"19 - November 11-23, 2020",344586,23710,66,4.6
Delaware,"23 - January 20 - February 1, 2021",256858,23642,36.4,3.6
New Hampshire,"15 - September 16-28, 2020",410178,23528,40,2.3
North Dakota,"23 - January 20 - February 1, 2021",192316,23273,35.2,4.3
Rhode Island,"24 - February 3-15, 2021",293905,23272,37.7,3
North Dakota,"24 - February 3-15, 2021",163286,23253,30.3,4.3
Rhode Island,"13 - August 19-31, 2020",313876,22985,40.9,3.2
Vermont,"25 - February 17 - March 1, 2021",196760,22971,41.8,4.9
South Dakota,"22 - January 6-18, 2021",172982,22932,29.1,4
North Dakota,"18 - October 28 - November 9, 2020",168251,22858,31.2,4.4
Delaware,"16 - September 30 - October 12, 2020",246497,22513,34,3.1
Rhode Island,"15 - September 16-28, 2020",311631,22305,40.4,2.8
Delaware,"21 - December 9-21, 2020",255775,22113,35.9,3.4
Montana,"13 - August 19-31, 2020",211925,21704,26.8,2.7
Delaware,"27 - March 17-29, 2021",257239,21594,36.7,3.1
North Dakota,"27 - March 17-29, 2021",179238,21460,32.9,3.9
Montana,"17 - October 14-26, 2020",238744,21402,30.6,2.7
Delaware,"13 - August 19-31, 2020",258155,21224,35.4,2.9
South Dakota,"20 - November 25 - December 7, 2020",179245,21151,29.3,3.3
District of Columbia,"17 - October 14-26, 2020",328435,21094,61.9,3.8
District of Columbia,"27 - March 17-29, 2021",325254,20805,63.7,4.4
District of Columbia,"25 - February 17 - March 1, 2021",372060,20697,70.5,3.7
Montana,"14 - September 2-14, 2020",208034,20666,26.5,2.6
Vermont,"23 - January 20 - February 1, 2021",205558,20345,43.8,4.4
South Dakota,"14 - September 2-14, 2020",170548,19790,28,3.2
Vermont,"24 - February 3-15, 2021",193259,19771,41.6,4.3
District of Columbia,"16 - September 30 - October 12, 2020",321763,19396,63.3,3.9
Vermont,"26 - March 3-15, 2021",193536,19369,41.7,4.3
South Dakota,"21 - December 9-21, 2020",171253,19366,28.6,3.2
Vermont,"18 - October 28 - November 9, 2020",184491,19306,39.8,4.2
South Dakota,"15 - September 16-28, 2020",166449,19124,26.7,3.1
Alaska,"20 - November 25 - December 7, 2020",226401,18981,44.2,3.8
Wyoming,"23 - January 20 - February 1, 2021",119601,18979,29,4.6
District of Columbia,"13 - August 19-31, 2020",318352,18918,60.6,3.6
South Dakota,"25 - February 17 - March 1, 2021",142016,18902,23.3,3
Vermont,"27 - March 17-29, 2021",187465,18796,39.9,3.9
Vermont,"20 - November 25 - December 7, 2020",193651,18542,41.7,3.9
Vermont,"19 - November 11-23, 2020",203788,18487,43.5,4
North Dakota,"13 - August 19-31, 2020",172491,18277,32.3,3.4
North Dakota,"26 - March 3-15, 2021",141988,18271,26.3,3.4
North Dakota,"22 - January 6-18, 2021",157610,18262,30.5,3.5
Vermont,"15 - September 16-28, 2020",186424,18252,39.1,3.8
Wyoming,"18 - October 28 - November 9, 2020",110761,18218,26.5,4.3
District of Columbia,"20 - November 25 - December 7, 2020",344823,18202,66.6,3.4
North Dakota,"20 - November 25 - December 7, 2020",159719,18003,29.9,3.2
North Dakota,"17 - October 14-26, 2020",158853,17450,29.4,3.2
Wyoming,"20 - November 25 - December 7, 2020",114457,17256,27.4,4.3
Vermont,"21 - December 9-21, 2020",210349,17213,44.2,3.6
Wyoming,"24 - February 3-15, 2021",112778,17006,27.8,4.3
Wyoming,"27 - March 17-29, 2021",106865,16982,26.3,4.2
Vermont,"14 - September 2-14, 2020",193354,16887,41.2,3.4
District of Columbia,"18 - October 28 - November 9, 2020",329597,16649,62.6,3.2
Wyoming,"19 - November 11-23, 2020",122519,16486,29.3,4
South Dakota,"17 - October 14-26, 2020",165436,16332,27,2.6
North Dakota,"16 - September 30 - October 12, 2020",152339,16329,28.2,3.1
Vermont,"22 - January 6-18, 2021",191009,16325,41.4,3.8
Vermont,"17 - October 14-26, 2020",186800,16166,39.3,3.4
Alaska,"25 - February 17 - March 1, 2021",204573,15965,40.4,3.1
District of Columbia,"21 - December 9-21, 2020",333637,15889,63.1,3.2
Alaska,"23 - January 20 - February 1, 2021",199320,15808,38.9,3.1
North Dakota,"19 - November 11-23, 2020",180203,15757,33.7,3
South Dakota,"19 - November 11-23, 2020",165782,15564,27,2.6
Wyoming,"25 - February 17 - March 1, 2021",113641,15474,27.6,3.6
Alaska,"26 - March 3-15, 2021",192431,15324,37.8,3
District of Columbia,"15 - September 16-28, 2020",308230,15179,60.1,2.9
North Dakota,"15 - September 16-28, 2020",137364,14953,25.7,2.9
South Dakota,"13 - August 19-31, 2020",183943,14792,29.7,2.4
Vermont,"16 - September 30 - October 12, 2020",201834,14761,43.4,3.3
District of Columbia,"14 - September 2-14, 2020",320058,14572,61.4,2.9
District of Columbia,"26 - March 3-15, 2021",318288,14571,61.8,3.1
Alaska,"27 - March 17-29, 2021",188603,14470,37.3,3
Wyoming,"26 - March 3-15, 2021",108198,14159,26,3.4
Vermont,"13 - August 19-31, 2020",192744,14153,41.9,3.2
North Dakota,"14 - September 2-14, 2020",166042,14089,30.6,2.7
Wyoming,"21 - December 9-21, 2020",111474,14043,26.8,3.4
Alaska,"18 - October 28 - November 9, 2020",182993,13968,35.9,2.7
Alaska,"17 - October 14-26, 2020",187727,13927,36.8,2.8
Alaska,"21 - December 9-21, 2020",177878,13579,35.1,2.7
Alaska,"19 - November 11-23, 2020",200785,13473,39.8,2.7
Wyoming,"15 - September 16-28, 2020",115923,13152,27.7,3.1
Wyoming,"22 - January 6-18, 2021",112480,12858,27.9,3.3
Alaska,"22 - January 6-18, 2021",196844,12783,39.8,2.8
Alaska,"24 - February 3-15, 2021",177024,12761,35.6,2.7
Alaska,"16 - September 30 - October 12, 2020",176741,12548,34.6,2.4
South Dakota,"16 - September 30 - October 12, 2020",159267,12312,25.5,2
Alaska,"14 - September 2-14, 2020",182105,12047,36,2.3
Wyoming,"17 - October 14-26, 2020",121513,11890,28.8,2.8
District of Columbia,"24 - February 3-15, 2021",323594,11301,63.3,2.4
Alaska,"15 - September 16-28, 2020",176307,11144,34.3,2.2
Wyoming,"16 - September 30 - October 12, 2020",115690,10685,27.7,2.5
Alaska,"13 - August 19-31, 2020",166504,10493,32.8,2.1
Wyoming,"13 - August 19-31, 2020",107390,10433,25.6,2.6
Wyoming,"14 - September 2-14, 2020",103210,9769,25,2.5
"Los Angeles-Long Beach-Anaheim, CA Metro Area","18 - October 28 - November 9, 2020",4571235,511048,47.5,4.3
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","19 - November 11-23, 2020",5854763,490166,47.3,3.5
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","24 - February 3-15, 2021",6606145,470672,49.5,3.3
"Los Angeles-Long Beach-Anaheim, CA Metro Area","27 - March 17-29, 2021",4330463,445576,41.9,3.7
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","21 - December 9-21, 2020",6295188,430930,46.6,3.2
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","20 - November 25 - December 7, 2020",6362856,429639,47.9,3.4
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","23 - January 20 - February 1, 2021",5862586,427782,45.5,3
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","25 - February 17 - March 1, 2021",6213583,421682,47,2.9
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","18 - October 28 - November 9, 2020",5730791,419257,45.4,3.7
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","22 - January 6-18, 2021",5818600,417058,46,3.6
"Los Angeles-Long Beach-Anaheim, CA Metro Area","24 - February 3-15, 2021",4617752,403200,46.5,3.5
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","26 - March 3-15, 2021",6323623,394122,45.8,2.4
"Los Angeles-Long Beach-Anaheim, CA Metro Area","19 - November 11-23, 2020",3981112,391565,38.3,3.7
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","16 - September 30 - October 12, 2020",6127456,368261,46.9,2.5
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","17 - October 14-26, 2020",6138902,359403,45.6,2.4
