City,State,Bedrooms,Year,Avg Rent,Change,YoY,2Y Change,Yo2Y,3Y Change,Yo3Y,4Y Change,Yo4Y
Austin,TX,1,2022,1386,150,12.14,174,14.36,252,22.22,300,27.62
Seattle,WA,1,2022,1881,142,8.17,282,17.64,140,8.04,324,20.81
Phoenix,AZ,2,2019,1173,100,9.32,,,,,,
Los Angeles,CA,2,2019,1956,165,9.21,,,,,,
Sacramento,CA,2,2019,1349,129,10.57,,,,,,
San Francisco,CA,2,2019,3339,530,18.87,,,,,,
Chicago,IL,2,2019,1248,36,2.97,,,,,,
Boston,MA,2,2019,2311,409,21.5,,,,,,
New York,NY,2,2019,1951,120,6.55,,,,,,
Nashville,TN,2,2019,1136,33,2.99,,,,,,
Austin,TX,2,2019,1356,41,3.12,,,,,,
Seattle,WA,2,2019,2099,200,10.53,,,,,,
Phoenix,AZ,2,2020,1251,78,6.65,178,16.59,,,,
Los Angeles,CA,2,2020,2058,102,5.21,267,14.91,,,,
Sacramento,CA,2,2020,1495,146,10.82,275,22.54,,,,
San Francisco,CA,2,2020,3553,214,6.41,744,26.49,,,,
Chicago,IL,2,2020,1299,51,4.09,87,7.18,,,,
Boston,MA,2,2020,2336,25,1.08,434,22.82,,,,
New York,NY,2,2020,2053,102,5.23,222,12.12,,,,
Nashville,TN,2,2020,1197,61,5.37,94,8.52,,,,
Austin,TX,2,2020,1434,78,5.75,119,9.05,,,,
Seattle,WA,2,2020,1906,-193,-9.19,7,0.37,,,,
Phoenix,AZ,2,2021,1311,60,4.8,138,11.76,238,22.18,,
Los Angeles,CA,2,2021,2044,-14,-0.68,88,4.5,253,14.13,,
Sacramento,CA,2,2021,1543,48,3.21,194,14.38,323,26.48,,
San Francisco,CA,2,2021,3198,-355,-9.99,-141,-4.22,389,13.85,,
Chicago,IL,2,2021,1340,41,3.16,92,7.37,128,10.56,,
Boston,MA,2,2021,2399,63,2.7,88,3.81,497,26.13,,
New York,NY,2,2021,2340,287,13.98,389,19.94,509,27.8,,
Nashville,TN,2,2021,1253,56,4.68,117,10.3,150,13.6,,
Austin,TX,2,2021,1451,17,1.19,95,7.01,136,10.34,,
Seattle,WA,2,2021,2044,138,7.24,-55,-2.62,145,7.64,,
Phoenix,AZ,2,2022,1740,429,32.72,489,39.09,567,48.34,667,62.16
Los Angeles,CA,2,2022,2222,178,8.71,164,7.97,266,13.6,431,24.06
Sacramento,CA,2,2022,1756,213,13.8,261,17.46,407,30.17,536,43.93
San Francisco,CA,2,2022,3188,-10,-0.31,-365,-10.27,-151,-4.52,379,13.49
Chicago,IL,2,2022,1440,100,7.46,141,10.85,192,15.38,228,18.81
Boston,MA,2,2022,2635,236,9.84,299,12.8,324,14.02,733,38.54
New York,NY,2,2022,2451,111,4.74,398,19.39,500,25.63,620,33.86
Nashville,TN,2,2022,1406,153,12.21,209,17.46,270,23.77,303,27.47
Austin,TX,2,2022,1626,175,12.06,192,13.39,270,19.91,311,23.65
Seattle,WA,2,2022,2199,155,7.58,293,15.37,100,4.76,300,15.8
Phoenix,AZ,3,2019,1676,125,8.06,,,,,,
Los Angeles,CA,3,2019,2614,213,8.87,,,,,,
Sacramento,CA,3,2019,1946,182,10.32,,,,,,
San Francisco,CA,3,2019,4365,702,19.16,,,,,,
Chicago,IL,3,2019,1585,43,2.79,,,,,,
Boston,MA,3,2019,2880,497,20.86,,,,,,
New York,NY,3,2019,2472,148,6.37,,,,,,
Nashville,TN,3,2019,1484,29,1.99,,,,,,
Austin,TX,3,2019,1763,29,1.67,,,,,,
Seattle,WA,3,2019,2993,260,9.51,,,,,,
Phoenix,AZ,3,2020,1765,89,5.31,214,13.8,,,,
Los Angeles,CA,3,2020,2735,121,4.63,334,13.91,,,,
Sacramento,CA,3,2020,2140,194,9.97,376,21.32,,,,
San Francisco,CA,3,2020,4567,202,4.63,904,24.68,,,,
Chicago,IL,3,2020,1649,64,4.04,107,6.94,,,,
Boston,MA,3,2020,2906,26,0.9,523,21.95,,,,
New York,NY,3,2020,2598,126,5.1,274,11.79,,,,
Nashville,TN,3,2020,1539,55,3.71,84,5.77,,,,
Austin,TX,3,2020,1848,85,4.82,114,6.57,,,,
Seattle,WA,3,2020,2694,-299,-9.99,-39,-1.43,,,,
Phoenix,AZ,3,2021,1825,60,3.4,149,8.89,274,17.67,,
Los Angeles,CA,3,2021,2693,-42,-1.54,79,3.02,292,12.16,,
Sacramento,CA,3,2021,2192,52,2.43,246,12.64,428,24.26,,
San Francisco,CA,3,2021,4111,-456,-9.98,-254,-5.82,448,12.23,,
Chicago,IL,3,2021,1697,48,2.91,112,7.07,155,10.05,,
Boston,MA,3,2021,2966,60,2.06,86,2.99,583,24.46,,
New York,NY,3,2021,2952,354,13.63,480,19.42,628,27.02,,
Nashville,TN,3,2021,1587,48,3.12,103,6.94,132,9.07,,
